app_pk,to_char,max
5292,2019-11,3
5292,2019-12,3
5292,2020-01,3
5292,2020-02,2344
5292,2020-03,2896
5292,2020-04,2821
5292,2020-05,1970
9795,2019-11,37
9795,2019-12,1119
9795,2020-01,1242
9795,2020-02,1232
9795,2020-03,1055
9795,2020-04,651
9795,2020-05,618
10519,2019-10,7962
10519,2019-11,8973
10519,2019-12,11963
10519,2020-01,11814
10519,2020-02,10515
10519,2020-03,11117
10519,2020-04,7906
10519,2020-05,9798
10568,2019-10,52
10568,2019-11,13
10568,2019-12,1
24637,2019-10,51333
24637,2019-11,65458
24637,2019-12,75971
24637,2020-01,89864
24637,2020-02,89353
24637,2020-03,109252
24637,2020-04,115104
24637,2020-05,141430
30825,2019-10,671
30825,2019-11,878
30825,2019-12,1499
30825,2020-01,1674
30825,2020-02,2241
30825,2020-03,2444
30825,2020-04,2375
30825,2020-05,2226
31264,2019-10,17196
31264,2019-11,17535
31264,2019-12,2305
31264,2020-01,4846
31264,2020-02,5802
31264,2020-03,7050
31264,2020-04,8320
31264,2020-05,9966
43935,2019-10,1176
43935,2019-11,1059
43935,2019-12,891
43935,2020-01,839
43935,2020-02,869
43935,2020-03,837
43935,2020-04,380
44430,2019-12,3
44430,2020-01,39
44430,2020-02,59
44430,2020-03,3061
44430,2020-04,3053
44431,2019-12,16
44431,2020-01,41
44431,2020-02,162
44431,2020-03,249
44431,2020-04,422
44431,2020-05,374
47574,2019-10,2799
47574,2019-11,2811
47574,2019-12,2363
47574,2020-01,2336
47574,2020-02,2546
47574,2020-03,3154
47574,2020-04,4683
47574,2020-05,4651
48519,2019-12,1
48519,2020-01,32
48519,2020-02,1336
48519,2020-03,8268
48519,2020-04,12910
48519,2020-05,13499
49715,2019-10,131
49715,2019-11,146
49715,2019-12,66
49715,2020-01,68
49715,2020-02,96
49715,2020-03,99
49715,2020-04,101
49715,2020-05,80
50128,2019-12,17
50128,2020-01,112
50128,2020-02,113
50128,2020-03,19
50128,2020-04,29
50128,2020-05,28
50792,2019-10,2
50792,2019-11,8
50792,2019-12,10
50792,2020-01,6
50792,2020-02,8
50792,2020-03,10
50792,2020-04,10
50792,2020-05,6
51539,2019-10,39
51539,2019-11,5
51539,2019-12,1
51539,2020-01,4
51539,2020-02,4
